LCLid,READING_DATE,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,ANNUAL_CONSUMPTION,Daily Consumption
MAC000005,2013-01-01,0.096,0.111,0.071,0.035,0.035,0.034,0.035,0.03,0.028,0.03,0.033,0.035,0.033,0.036,0.034,0.052,0.309,0.138,0.056,0.036,0.035,0.165,0.097,0.073,0.034,0.034,0.034,0.034,0.024,0.025,0.029,0.033,0.032,0.032,0.031,0.026,0.027,0.248,0.548,0.296,0.247,0.157,0.114,0.115,0.115,0.292,0.13,0.045,1.6524261953557688,4.339
MAC000005,2013-01-02,0.035,0.035,0.035,0.029,0.024,0.03,0.034,0.034,0.038,0.024,0.022,0.032,0.034,0.033,0.035,0.027,0.054,0.229,0.098,0.111,0.047,0.036,0.033,0.026,0.025,0.026,0.032,0.033,0.171,0.145,0.126,0.175,0.147,0.225,0.818,0.294,0.421,0.227,0.162,0.151,0.143,0.167,0.311,0.223,0.2,0.153,0.139,0.051,1.6524261953557688,5.699999999999999
MAC000005,2013-01-03,0.031,0.032,0.033,0.031,0.033,0.027,0.031,0.027,0.028,0.029,0.031,0.032,0.031,0.033,0.032,0.055,0.346,0.137,0.06,0.032,0.032,0.036,0.036,0.157,0.035,0.082,0.034,0.029,0.029,0.027,0.144,0.204,0.07,0.067,0.185,0.763,0.485,0.316,0.134,0.129,0.099,0.081,0.09,0.108,0.122,0.385,0.135,0.072,1.6524261953557688,5.176999999999999
MAC000005,2013-01-04,0.035,0.029,0.03,0.029,0.029,0.03,0.033,0.032,0.032,0.032,0.037,0.031,0.032,0.033,0.035,0.062,0.307,0.114,0.147,0.037,0.041,0.106,0.363,0.226,0.114,0.029,0.036,0.035,0.135,0.074,0.06,0.064,0.244,0.134,0.131,1.345,0.271,0.367,0.165,0.144,0.091,0.112,0.103,0.124,0.242,0.129,0.082,0.075,1.6524261953557688,6.187999999999999
MAC000005,2013-01-05,0.053,0.03,0.027,0.027,0.034,0.035,0.036,0.036,0.027,0.027,0.03,0.036,0.037,0.036,0.047,0.077,0.237,0.217,0.207,0.05,0.033,0.043,0.069,0.062,0.168,0.137,0.793,0.174,0.041,0.031,0.064,0.151,0.11,0.213,0.076,0.14,0.212,0.182,0.115,0.111,0.309,0.144,0.181,0.134,0.102,0.117,0.117,0.034,1.6524261953557688,5.369000000000001
MAC000005,2013-01-06,0.032,0.032,0.033,0.029,0.029,0.028,0.028,0.029,0.037,0.032,0.032,0.032,0.033,0.033,0.062,0.239,0.396,0.2,0.27,0.035,0.197,0.291,0.097,0.125,0.741,0.708,0.679,0.166,1.053,1.748,0.331,0.198,0.278,0.286,0.197,0.286,0.237,0.228,0.2,0.194,0.191,0.206,0.438,0.142,0.146,0.157,0.151,0.124,1.6524261953557688,11.436000000000002
MAC000005,2013-01-07,0.132,0.041,0.034,0.034,0.034,0.035,0.038,0.039,0.036,0.037,0.036,0.032,0.03,0.036,0.066,0.082,0.076,0.221,0.07,0.049,0.034,0.034,0.033,0.033,0.031,0.033,1.005,0.071,0.13,0.121,0.078,0.068,0.068,0.078,0.066,0.289,0.478,0.363,0.162,0.159,0.122,0.089,0.105,0.108,0.336,0.173,0.142,0.122,1.6524261953557688,5.689
MAC000005,2013-01-08,0.033,0.033,0.031,0.03,0.03,0.03,0.031,0.03,0.03,0.03,0.03,0.03,0.035,0.033,0.033,0.043,0.166,0.213,0.073,0.046,0.032,0.032,0.031,0.031,0.031,0.031,0.029,0.029,0.029,0.028,0.029,0.028,0.028,0.027,0.029,0.164,0.209,0.288,0.22,0.195,0.141,0.086,0.131,0.343,0.127,0.12,0.153,0.122,1.6524261953557688,3.752999999999999
MAC000005,2013-01-09,0.049,0.031,0.031,0.031,0.032,0.03,0.031,0.031,0.03,0.031,0.033,0.031,0.029,0.03,0.031,0.042,0.131,0.221,0.085,0.065,0.03,0.034,0.03,0.03,0.03,0.029,0.029,0.041,0.035,0.032,0.156,0.112,0.047,0.293,0.687,0.343,0.218,0.337,0.186,0.191,0.111,0.108,0.117,0.358,0.175,0.128,0.089,0.091,1.6524261953557688,5.092
MAC000005,2013-01-10,0.032,0.033,0.031,0.031,0.031,0.031,0.031,0.033,0.031,0.03,0.03,0.029,0.03,0.031,0.031,0.051,0.301,0.218,0.166,0.085,0.036,0.029,0.027,0.028,0.028,0.028,0.028,0.028,0.202,0.109,0.114,0.227,0.087,0.066,0.103,0.491,0.399,0.345,0.167,0.234,0.212,0.085,0.077,0.21,0.212,0.162,0.11,0.11,1.6524261953557688,5.24
MAC000005,2013-01-11,0.112,0.075,0.032,0.032,0.03,0.031,0.03,0.033,0.03,0.03,0.028,0.029,0.029,0.03,0.03,0.056,0.389,0.195,0.119,0.098,0.071,0.153,0.089,0.118,0.169,0.128,0.101,0.238,0.031,0.028,0.028,0.031,0.028,0.113,0.144,0.457,0.724,0.346,0.164,0.165,0.125,0.082,0.102,0.178,0.17,0.297,0.101,0.076,1.6524261953557688,5.895
MAC000005,2013-01-12,0.028,0.028,0.028,0.028,0.029,0.028,0.028,0.028,0.029,0.028,0.029,0.028,0.033,0.03,0.03,0.055,0.345,0.199,0.117,0.036,0.032,0.03,0.202,0.181,0.139,0.17,0.585,0.167,0.069,0.068,0.066,0.229,0.113,0.068,0.064,0.127,0.321,0.213,0.117,0.183,0.163,0.099,0.081,0.092,0.29,0.099,0.129,0.043,1.6524261953557688,5.324000000000001
